nan,1.0,8.263848363104991e-12,nan,Boiler,30
nan,nan,4.7322641263926355e-12,nan,Laptop,30
nan,nan,4.215916014029686e-12,nan,Washing Machine,30
2.2325424803211223e-12,1.0,4.7612453799059895e-12,2.2325474802187273e-12,TV,30
nan,1.0,2.7571624730038263e-12,nan,Solar Termal Pump,30
inf,0.9999999999999992,4.199641672896819e-12,0.0069444444464791255,Dishwasher,30
4.72195908325864e-13,0.9999999999999996,5.156847522539751e-12,4.720668300706166e-13,Htpc,30
nan,1.0,3.645539487336485e-12,nan,Fridge,30
nan,1.0,9.995477046418415e-13,nan,Toaster,30
1.927023144791765e-12,0.9999999999999998,4.395550812389912e-12,1.9270141038418842e-12,Microwave,30
nan,1.0,2.034227323862311e-12,nan,Kettle,30
nan,nan,1.74775413520161e-12,nan,LCD_Office,30
nan,nan,1.6891791629964921e-12,nan,HIFI_Office,30
nan,nan,1.5882755899859841e-12,nan,BreadMaker,30
nan,1.0,2.3747001577923153e-12,nan,Amp_Living,30
3.2188483830042074e-13,1.0,4.165328666823828e-12,3.2174263253637037e-13,ADSL_Router,30
nan,0.9999999999999997,1.7970395375920215e-12,nan,Living_lamp1,30
nan,nan,1.820294135322738e-12,nan,Soldering_Iron,30
nan,nan,1.5371211806469634e-12,nan,GigE_USBHUB,30
nan,0.9999999999999999,8.224948900205821e-13,nan,Kitchen Lights,30
nan,nan,1.3846249243474595e-12,nan,Hoover,30
nan,nan,1.995242630429766e-12,nan,Kitchen Lamp1,30
nan,1.0,1.4653029223121553e-12,nan,Bedroom_Lamp,30
nan,1.0,3.888572749288851e-12,nan,Lightning_Circuit,30
nan,0.9999999999999984,2.0772182700342697e-12,nan,Living_lamp2,30
nan,1.0,1.7740444799140746e-12,nan,iPad_Charger,30
nan,1.0,3.8773666866869285e-12,nan,Subwoofer_L,30
nan,1.0,1.453899941694454e-12,nan,Living_LampTV,30
nan,0.999999999999999,1.7269490343265762e-12,nan,DAB_radio,30
nan,0.9999999999999992,1.967008549492824e-12,nan,Kitchen Lamp2,30
1.4946422574878549e-12,1.0,3.76985899445206e-12,1.4946932580528483e-12,Kitchen Phone_Stereo,30
nan,nan,1.6938053632698868e-12,nan,UtilityRM_Lamp,30
nan,1.0,2.495723929803098e-12,nan,Samsung_Charger,30
nan,nan,1.360469357779946e-12,nan,Bedroom_d_Lamp,30
nan,0.9999999999999999,3.793069182465573e-12,nan,Coffee_Machine,30
nan,1.0,4.025697246006582e-12,nan,Kitchen_Radio,30
1.3690209106501688e-12,0.9999999999999998,4.015676100201404e-12,1.3690160116652805e-12,Bedroom_Chargers,30
nan,0.9999999999999996,1.5059464979489565e-12,nan,Hair_Dryer,30
nan,1.0,1.4671278318038352e-12,nan,Straighteners,30
nan,nan,1.5839186075561592e-12,nan,Iron,30
6.367830328039942e-13,1.0,3.8118151606228516e-12,6.368239269249898e-13,Gas_Oven,30
1.503837723258573e-13,1.0,3.8147067685583105e-12,1.503241975342462e-13,Datalogger_PC,30
nan,1.0,1.4362269515142015e-12,nan,Childs_table_lamp,30
nan,0.9999999999999999,1.893860760987422e-12,nan,Childs_ds_lamp,30
nan,nan,1.4749762489486751e-12,nan,Battery_Charger,30
nan,nan,1.511980321611894e-12,nan,Office_Lamp1,30
nan,nan,1.553964230888981e-12,nan,Office_Lamp2,30
nan,nan,1.7041062912860079e-12,nan,Office_Lamp3,30
nan,nan,2.0131397496837103e-12,nan,Office_PC,30
nan,nan,0.0,nan,BabyMonitor,30
nan,nan,0.0,nan,Office_Fan,30
nan,nan,0.0,nan,Led_Printer,30
nan,0.2647987728801659,94.78430536150046,nan,Boiler,7
nan,-0.09113435861531835,94.78430536142244,nan,Laptop,7
nan,0.0939039295308074,94.78430536151265,nan,Solar Termal Pump,7
23.84218750012397,-0.015192188272143498,94.7843053619125,0.11738864177584896,Dishwasher,7
nan,0.9185095819242092,94.78430536149627,nan,Washing Machine,7
nan,0.7036923361571422,94.78430536142248,nan,Kitchen Lights,7
24.525387028848506,0.208989017710392,94.78430536142169,0.11744095135241317,TV,7
11.842529367938088,0.14190850143311648,94.78430536076915,0.11578640924321726,Htpc,7
nan,0.8112197183554769,94.7843053611386,nan,Toaster,7
23.724703510917497,0.9046108931168283,94.78430536187959,0.1173880923266839,Kettle,7
nan,0.43520368727410885,94.78430536115626,nan,Fridge,7
23.831056010839998,0.5266721222694563,94.78430536106588,0.11738696517867908,Microwave,7
nan,0.10056247713200918,94.78430536146071,nan,LCD_Office,7
nan,-0.17178135808869333,94.78430536142163,nan,HIFI_Office,7
nan,-0.01106127791529687,94.78430536141998,nan,Amp_Living,7
4.000190775579335,-0.09146098519103629,94.78430536137182,0.11092475575374705,ADSL_Router,7
nan,nan,94.78430536142163,nan,BreadMaker,7
nan,-0.03014177945268268,94.78430536142126,nan,Living_lamp1,7
nan,-0.21259939178761722,94.78430536144263,nan,Soldering_Iron,7
nan,-0.19762100416776243,94.78430536144411,nan,GigE_USBHUB,7
nan,nan,94.78430536183981,nan,Hoover,7
nan,nan,94.78430536142194,nan,Bedroom_Lamp,7
nan,0.6988682053603041,94.78430536163607,nan,Lightning_Circuit,7
nan,nan,0.0,nan,Kitchen Lamp1,7
nan,nan,94.78430536207964,nan,Living_lamp2,7
nan,0.03499007120846073,94.78430536188085,nan,iPad_Charger,7
nan,-0.03386672052593572,94.78430536142133,nan,Subwoofer_L,7
nan,-0.03889239747108541,94.78430536078616,nan,Living_LampTV,7
nan,-0.0068168391261713805,94.78430536146688,nan,DAB_radio,7
